Tahun;Penjualan;Laba operasi;Total Laba Komprehensif Tahun Berjalan;Total aset;Total ekuitas;Karyawan Tetap;PKWT dan Honor
2008;4661011;1218965;802582;5017026;2498786;;
2009;4600460;697420;417859;5885919;2643766;;
2010;5442078;1259269;793339;6777521;3292053;;
2011;5611630;1338428;887106;8161344;3915530;27222;124
2012;5419615;1149118;695661;9503272;4203291;26155;147
2013;5400711;870183;430750;9963850;4392535;23815;162
2014;6322616;1414217;671297;10983825;5255048;24470;186
2015;5195233;618468;2928191;13894920;6842149;21668;214
2016;5651161;1387520;326481;14648462;6831481;22540;611
2017;5620786;1089183;176292;14474792;6802089;21205;590
2018;5224598;1045954;1319680;17030899;7738026;19938;173
2019;4753412;707882;466645;17941799;7107492;18865;1711
2020;6349127;1443249;117466;18499471;7177960;18352;760
2021;9328796;3173681;2862922;21189385;9904624;16775;1325
2022;10478409;3184932;1886039;23001226;11790663;15392;2757
